point,permitnum,address,category,description,proposedusecode,proposedusedescription,permitteddiscretionary,landusedistrict,landusedistrictdescription,statuscurrent,applieddate,decisiondate,releasedate,mustcommencedate,decision,decisionby,communitycode,communityname,ward,quadrant,latitude,longitude,locationcount,locationtypes,locationaddresses,locationsgeojson,locationswkt,canceledrefuseddate,sdabhearingdate,sdabnumber,sdabdecision,sdabdecisiondate
"{'type': 'Point', 'coordinates': [-114.04810668503988, 51.01674832423703]}",DP2017-5533,4220 BLACKFOOT TR SE,Change of Use - With Change to Site Plan,"EXTERIOR RENOVATIONS: OFFICE (BUILDING FACADE, CANOPY, AND WHEELCHAIR RAMP), NEW: SIGN - CLASS B (FASCIA SIGN)",C1572,EXTERIOR RENOVATIONS,Permitted,I-B f1.0,Industrial - Business,Released,2017-12-01T00:00:00.000,2018-03-19T00:00:00.000,2018-03-21T00:00:00.000,2021-03-19T00:00:00.000,Approval,Development Authority,HIF,HIGHFIELD,9,SE,51.01674832423703,-114.04810668503988,2,Titled Parcel;Building,4220 BLACKFOOT TR SE;4220 BLACKFOOT TR SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0481067,51.0167483],[-114.0477891,51.0167814]]}","MULTIPOINT (-114.04810668503988 51.01674832423703,-114.04778911224717 51.016781384096944)",,,,,
"{'type': 'Point', 'coordinates': [-114.0401944885469, 51.04314834882386]}",DP2020-4020,922 9 AV SE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: COMMUNITY RECREATION FACILITY (CHANGES TO RAMP),C1350,COMMUNITY RECREATION FACILITY,Discretionary,S-CS,Special Purpose - Community Service,Released,2020-06-30T00:00:00.000,2020-08-27T00:00:00.000,2020-09-28T00:00:00.000,2022-08-27T00:00:00.000,,Development Authority,ING,INGLEWOOD,9,SE,51.04314834882386,-114.0401944885469,2,Titled Parcel;Building,922 9 AV SE;922 9 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0401945,51.0431483],[-114.0398645,51.043288]]}","MULTIPOINT (-114.0401944885469 51.04314834882386,-114.03986451467361 51.04328802748552)",,,,,
"{'type': 'Point', 'coordinates': [-114.05888371925623, 50.96350879584936]}",DP2018-0518,9919 FAIRMOUNT DR SE,Commercial - Other Areas,"ADDITION: MULTI-USE COMMERCIAL (VESTIBULE); CHANGES TO SITE PLAN: MULTI-USE COMMERCIAL (RAMP, PARKING RECONFIGURATION & SIDEWALK REPLACEMENT); EXTERIOR RENOVATIONS: MULTI-USE COMMERCIAL (REFURBISH BUILDING FACADE)",C1572,EXTERIOR RENOVATIONS,Discretionary,C-C1,Commercial - Community 1,Released,2018-02-08T00:00:00.000,2018-04-03T00:00:00.000,2018-05-07T00:00:00.000,2020-04-03T00:00:00.000,Approval,Development Authority,WIL,WILLOW PARK,11,SE,50.96350879584936,-114.05888371925623,2,Titled Parcel;Building,9919 FAIRMOUNT DR SE;9919 FAIRMOUNT DR SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0588837,50.9635088],[-114.0601713,50.9629756]]}","MULTIPOINT (-114.05888371925623 50.96350879584936,-114.06017133724532 50.96297559831771)",,,,,
"{'type': 'Point', 'coordinates': [-114.14598946384329, 51.064243112888335]}",DP2021-4782,1000 VETERAN'S PL NW,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: OFFICE (ACCESS RAMP),C2110,OFFICE,Permitted,DC,Direct Control (1P2007),Released,2021-06-30T00:00:00.000,2021-09-15T00:00:00.000,2021-10-13T00:00:00.000,2024-09-15T00:00:00.000,Approval,Development Authority,PKD,PARKDALE,7,NW,51.064,-114.146,3,Titled Parcel;Building;Building,4040 BOWNESS RD NW;2000 VETERAN'S PL NW;1000 VETERAN'S PL NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1459895,51.0642431],[-114.1452951,51.0653619],[-114.1448343,51.065216]]}","MULTIPOINT ((-114.14598946384329 51.064243112888335),(-114.1452950997095 51.06536192011583),(-114.14483426337577 51.06521600471456))",,,,,
"{'type': 'Point', 'coordinates': [-114.03438981364307, 51.0021703456585]}",DP2020-4052,5857 12 ST SE,Industrial - Other Areas,NEW: SALVAGE YARD (4 BUILDINGS); CHANGES TO SITE PLAN: SALVAGE YARD (RAMP),C2553,SALVAGE YARD,Discretionary,I-G; S-FUD,Industrial - General; Special Purpose - Future Urban Development,Released,2020-07-02T00:00:00.000,2020-08-04T00:00:00.000,2020-09-17T00:00:00.000,2022-08-04T00:00:00.000,Approval,Development Authority,BUR,BURNS INDUSTRIAL,9,SE,51.0021703456585,-114.03438981364307,2,Titled Parcel;Building,5857 12 ST SE;5857 12 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0343898,51.0021703],[-114.032088,51.0020862]]}","MULTIPOINT (-114.03438981364307 51.0021703456585,-114.03208803126691 51.00208615474058)",,,,,
"{'type': 'Point', 'coordinates': [-114.0408408631383, 51.02420859905476]}",DP2019-3559,3405 9 ST SE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (BARRIER FREE RAMP AND PARKING RECONFIGURATION) - RELAXATION (ONE PARKING STALL TO ACCOMMODATE A BARRIER FREE STALL),C1685,GENERAL INDUSTRIAL - LIGHT,Permitted with a Relaxation,I-G,Industrial - General,Released,2019-07-12T00:00:00.000,2019-10-07T00:00:00.000,2019-11-07T00:00:00.000,2021-10-07T00:00:00.000,Approval,Development Authority,HIF,HIGHFIELD,9,SE,51.02420859905476,-114.0408408631383,2,Titled Parcel;Building,3405 9 ST SE;3405 9 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0408409,51.0242086],[-114.0414182,51.0241879]]}","MULTIPOINT (-114.0408408631383 51.02420859905476,-114.04141823060424 51.02418792615327)",,,,,
"{'type': 'Point', 'coordinates': [-114.20580263044927, 51.150599304621124]}",DP2018-5119,19 ROYAL VISTA LI NW,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: MULTI-USE INDUSTRIAL (OUTDOOR PLAY AREA, SIDEWALK, RAMP, BOLLARDS), CHANGE OF USE: CHILD CARE SERVICE (168 CHILDREN), OFFICE; EXTERIOR RENOVATIONS: CHILD CARE SERVICE (WEST MAIN FLOOR DOOR)",C1310; C2110,CHILD CARE SERVICE; OFFICE,Discretionary,DC; I-B f1.0h16,Direct Control (1P2007); Industrial - Business,Released,2018-10-30T00:00:00.000,2019-01-24T00:00:00.000,2019-02-22T00:00:00.000,2022-01-24T00:00:00.000,Approval,Development Authority,RYV,ROYAL VISTA,1,NW,51.150599304621124,-114.20580263044927,3,Titled Parcel;Titled Parcel;Building,14 ROYAL VISTA DR NW;19 ROYAL VISTA LI NW;19 ROYAL VISTA LI NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.2058026,51.1505993],[-114.2041548,51.1511541],[-114.2048497,51.1511068]]}","MULTIPOINT (-114.20580263044927 51.150599304621124,-114.20415477961167 51.151154080591006,-114.2048497308365 51.151106803017214)",,,,,
"{'type': 'Point', 'coordinates': [-114.05843263304487, 51.01576234678134]}",DP2018-4427,225 42 AV SE,Renovations - Non-Residential,"CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (BARRIER FREE RAMP, AND PARKING STALL RECONFIGURATION)",C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Released,2018-09-14T00:00:00.000,2018-10-09T00:00:00.000,2018-11-12T00:00:00.000,2020-10-09T00:00:00.000,Approval,Development Authority,MNI,MANCHESTER INDUSTRIAL,9,SE,51.01576234678134,-114.05843263304487,2,Titled Parcel;Building,225 42 AV SE;225 42 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0584326,51.0157623],[-114.0579989,51.0151221]]}","MULTIPOINT (-114.05843263304487 51.01576234678134,-114.05799889503521 51.015122130989)",,,,,
"{'type': 'Point', 'coordinates': [-113.95706166313182, 50.97559283588994]}",DP2020-8272,5300 86 AV SE,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (NEW RAMP AND STAIRS) , EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (CHANGES TO BUILDING FACADE)",C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Released,2020-12-21T00:00:00.000,2021-02-10T00:00:00.000,2021-03-15T00:00:00.000,2023-02-10T00:00:00.000,Approval,Development Authority,S23,SECTION 23,12,SE,50.97559283588994,-113.95706166313182,2,Titled Parcel;Building,5300 86 AV SE;5300 86 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9570617,50.9755928],[-113.9565515,50.9768309]]}","MULTIPOINT (-113.95706166313182 50.97559283588994,-113.956551547468 50.97683090778094)",,,,,
"{'type': 'Point', 'coordinates': [-113.96027368938157, 51.00104826329921]}",DP2017-4696,6025 51 ST SE,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (NEW LOADING RAMP, OUTDOOR STORAGE AND PARKING RECONFIGURATION)",C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Released,2017-10-12T00:00:00.000,2017-12-12T00:00:00.000,2017-12-13T00:00:00.000,2019-12-12T00:00:00.000,Approval,Development Authority,FHI,FOOTHILLS,9,SE,51.00104826329921,-113.96027368938157,1,Titled Parcel,6025 51 ST SE,"{""type"":""Point"",""coordinates"":[-113.9602737,51.0010483]}",POINT (-113.96027368938157 51.00104826329921),,,,,
"{'type': 'Point', 'coordinates': [-113.98682718659367, 50.98457382470308]}",DP2017-5009,7703 30 ST SE,Renovations - Non-Residential,EXTERIOR RENOVATIONS: MULTI-USE INDUSTRIAL (NEW RAMP),C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Released,2017-10-31T00:00:00.000,2017-11-30T00:00:00.000,2017-12-04T00:00:00.000,2019-11-30T00:00:00.000,Approval,Development Authority,FHI,FOOTHILLS,9,SE,50.98457382470308,-113.98682718659367,2,Titled Parcel;Building,7703 30 ST SE;7703 30 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9868272,50.9845738],[-113.9877735,50.9843762]]}","MULTIPOINT (-113.98682718659367 50.98457382470308,-113.98777346100586 50.984376178359106)",,,,,
"{'type': 'Point', 'coordinates': [-114.07906277607657, 51.01015861788748]}",DP2017-3520,4811 6 ST SW,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: SCHOOL AUTHORITY - SCHOOL (REMOVAL OF EXTERIOR STAIRS, ADDITION OF EXTERIOR RAMP AND ELEVATOR SHAFT)",C2580,SCHOOL AUTHORITY - SCHOOL,Permitted,S-CS,Special Purpose - Community Service,Released,2017-08-02T00:00:00.000,2017-08-31T00:00:00.000,2017-09-05T00:00:00.000,2019-08-31T00:00:00.000,Approval,Development Authority,EYA,ELBOYA,11,SW,51.01015861788747,-114.07906277607657,2,Titled Parcel;Building,4811 6 ST SW;4811 6 ST SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0790628,51.0101586],[-114.0792951,51.0101077]]}","MULTIPOINT (-114.07906277607657 51.01015861788747,-114.0792951357463 51.010107749039825)",,,,,
"{'type': 'Point', 'coordinates': [-114.08457440243579, 50.955399109849765]}",DP2018-4552,10910 ELBOW DR SW,Renovations - Non-Residential,EXTERIOR RENOVATIONS: SCHOOL AUTHORITY - SCHOOL (ELEVATOR SHAFT),C2580,SCHOOL AUTHORITY - SCHOOL,Permitted,S-SPR,"Special Purpose - School, Park and Community Reserve",Released,2018-09-24T00:00:00.000,2018-10-11T00:00:00.000,2018-10-12T00:00:00.000,2020-10-11T00:00:00.000,Approval,Development Authority,SOW,SOUTHWOOD,11,SW,50.955399109849765,-114.08457440243579,2,Titled Parcel;Building,10910 ELBOW DR SW;10910 ELBOW DR SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0845744,50.9553991],[-114.0838514,50.9556924]]}","MULTIPOINT (-114.08457440243579 50.955399109849765,-114.083851410312 50.95569239533018)",,,,,
"{'type': 'Point', 'coordinates': [-113.96672015503329, 50.93223859814446]}",DP2020-5259,#100 4700 130 AV SE,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: SUPERMARKET (PARKING RECONFIGURATION, RAMP ADDITION, EXTERIOR DOOR FOR RAMP)",C2820,SUPERMARKET,Permitted,C-R3 f0.29h12,Commercial - Regional 3,Released,2020-08-21T00:00:00.000,2020-09-28T00:00:00.000,2020-10-20T00:00:00.000,2022-09-28T00:00:00.000,Approval,Development Authority,ESH,EAST SHEPARD INDUSTRIAL,12,SE,50.93223859814446,-113.96672015503329,2,Titled Parcel;Building,4700 130 AV SE;#100 4700 130 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9667202,50.9322386],[-113.9671502,50.9342937]]}","MULTIPOINT (-113.96672015503329 50.93223859814446,-113.96715023068045 50.93429367754048)",,,,,
"{'type': 'Point', 'coordinates': [-114.16917342203233, 51.01871739704171]}",DP2018-2942,5691 SIGNAL HILL CE SW,Renovations - Non-Residential,"EXTERIOR RENOVATIONS: MULTI-USE COMMERCIAL (NEW EXTERIOR DOORS), CHANGE TO SITE PLAN: MULTI-USE COMMERCIAL (SIDEWALK RAMP)",C2515,RETAIL AND CONSUMER SERVICE,Discretionary,C-R3 f0.24h18,Commercial - Regional 3,Released,2018-06-19T00:00:00.000,2018-06-28T00:00:00.000,2018-08-01T00:00:00.000,2020-06-28T00:00:00.000,Approval,Development Authority,SIG,SIGNAL HILL,6,SW,51.01871739704171,-114.16917342203233,3,Titled Parcel;Building;Entryway,5661 SIGNAL HILL CE SW;5661 SIGNAL HILL CE SW;5691 SIGNAL HILL CE SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1691734,51.0187174],[-114.1697029,51.0180394],[-114.1707673,51.0179123]]}","MULTIPOINT (-114.16917342203233 51.01871739704171,-114.16970289920499 51.018039429035326,-114.17076734681581 51.01791229108053)",,,,,
"{'type': 'Point', 'coordinates': [-114.07205095905442, 50.96886386512059]}",DP2021-1273,9631 MACLEOD TR SW,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: RETAIL AND CONSUMER SERVICE (NEW DOOR, EXTERIOR STAIRS, RAMPS)",C2515,RETAIL AND CONSUMER SERVICE,Permitted,C-COR3 f1.0h12,Commercial - Corridor 3,Released,2021-03-01T00:00:00.000,2021-04-07T00:00:00.000,2021-04-07T00:00:00.000,2023-04-07T00:00:00.000,Approval,Development Authority,HAY,HAYSBORO,11,SW,50.96886386512059,-114.07205095905442,1,Titled Parcel,9631 MACLEOD TR SW,"{""type"":""Point"",""coordinates"":[-114.072051,50.9688639]}",POINT (-114.07205095905442 50.96886386512059),,,,,
"{'type': 'Point', 'coordinates': [-114.02508954903904, 51.14529754146306]}",DP2017-4786,10221 15 ST NE,Renovations - Non-Residential,EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (NEW OVERHEAD DOOR AND RAMP),C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Released,2017-10-17T00:00:00.000,2017-11-16T00:00:00.000,2017-11-21T00:00:00.000,2019-11-16T00:00:00.000,Approval,Development Authority,ST2,STONEY 2,5,NE,51.14529754146306,-114.02508954903904,2,Titled Parcel;Building,10221 15 ST NE;10221 15 ST NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0250895,51.1452975],[-114.0255836,51.1452654]]}","MULTIPOINT (-114.02508954903904 51.14529754146306,-114.02558362022597 51.14526538659815)",,,,,
"{'type': 'Point', 'coordinates': [-113.99269460106571, 51.081673367875716]}",DP2021-8584,#5 2930 32 AV NE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: RETAIL AND CONSUMER SERVICE (SUNKEN LOADING RAMP),C2515,RETAIL AND CONSUMER SERVICE,Discretionary,C-COR3 f1.0h12,Commercial - Corridor 3,Released,2021-12-01T00:00:00.000,2022-01-11T00:00:00.000,2022-03-28T00:00:00.000,2024-01-11T00:00:00.000,Approval,Development Authority,HOR,HORIZON,10,NE,51.082,-113.993,3,Titled Parcel;Building;Building Suite,2930 32 AV NE;2930 32 AV NE;#5 2930 32 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9926946,51.0816734],[-113.9928,51.0822886],[-113.9928,51.0822886]]}","MULTIPOINT ((-113.99269460106571 51.081673367875716),(-113.99280004686115 51.08228864578405),(-113.99280004686115 51.08228864578405))",,,,,
"{'type': 'Point', 'coordinates': [-114.05843263304487, 51.01576234678134]}",DP2019-5441,225 42 AV SE,Renovations - Non-Residential,EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (TWO NEW OVERHEAD DOORS AND VEHICLE RAMPS),C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Under Review,2019-10-18T00:00:00.000,,,,,,MNI,MANCHESTER INDUSTRIAL,9,SE,51.01576234678134,-114.05843263304487,2,Titled Parcel;Building,225 42 AV SE;225 42 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0584326,51.0157623],[-114.0579989,51.0151221]]}","MULTIPOINT (-114.05843263304487 51.01576234678134,-114.05799889503521 51.015122130989)",,,,,
"{'type': 'Point', 'coordinates': [-113.99326226534723, 51.09584640886312]}",DP2019-4900,2765 48 AV NE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (NEW RAMP & FENCED STORAGE); EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (NEW EXTERIOR DOOR & ENLARGED BAY DOOR),C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,In Advertising,2019-09-20T00:00:00.000,2019-10-24T00:00:00.000,,2021-10-24T00:00:00.000,Approval,Development Authority,HOR,HORIZON,5,NE,51.09584640886312,-113.99326226534723,2,Titled Parcel;Building,2765 48 AV NE;2765 48 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9932623,51.0958464],[-113.993962,51.0952425]]}","MULTIPOINT (-113.99326226534723 51.09584640886312,-113.99396201333003 51.09524245018739)",,,,,
"{'type': 'Point', 'coordinates': [-113.94512569939917, 50.98525268289095]}",DP2019-2084,5840 76 AV SE,Renovations - Non-Residential,"EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (NEW BAY DOOR, EXIT DOORS); CHANGES TO SITE PLAN (RAMP & FENCING FOR STORAGE AREA)",C1572; C1685,EXTERIOR RENOVATIONS; GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Released,2019-04-30T00:00:00.000,2019-06-24T00:00:00.000,2019-07-22T00:00:00.000,2021-06-24T00:00:00.000,Approval,Development Authority,GPI,GREAT PLAINS,9,SE,50.98525268289095,-113.94512569939917,2,Titled Parcel;Building,5840 76 AV SE;5840 76 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9451257,50.9852527],[-113.9440579,50.9859235]]}","MULTIPOINT (-113.94512569939917 50.98525268289095,-113.94405793824626 50.98592347371156)",,,,,
"{'type': 'Point', 'coordinates': [-114.09487056336786, 51.02744762209423]}",DP2019-1305,3007 14 ST SW,Renovations - Non-Residential,EXTERIOR RENOVATIONS: RESTAURANT: NEIGHBOURHOOD (REMOVEABLE STRAMP LOCATED IN ROAD WIDENING SETBACK),C2501,RESTAURANT: NEIGHBOURHOOD,Discretionary,MU-1 f1.5h16.5,Mixed Use - General,Released,2019-03-20T00:00:00.000,2019-06-12T00:00:00.000,2019-07-16T00:00:00.000,2021-06-12T00:00:00.000,Approval,Development Authority,SOC,SOUTH CALGARY,8,SW,51.02744762209422,-114.09487056336785,2,Titled Parcel;Building,3007 14 ST SW;3007 14 ST SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0948706,51.0274476],[-114.0950464,51.027423]]}","MULTIPOINT (-114.09487056336785 51.02744762209422,-114.09504636677796 51.02742302709039)",,,,,
"{'type': 'Point', 'coordinates': [-114.06598889845651, 51.0409566201551]}",DP2017-2851,1213 1 ST SW,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: RESTAURANT: LICENSED - MEDIUM (NEW WHEELCHAIR RAMP); EXTERIOR RENOVATIONS: RESTAURANT: LICENSED - MEDIUM (NEW AWNINGS); NEW: SIGN - CLASS B (FASCIA SIGN),C2490,RESTAURANT: LICENSED - MEDIUM,Discretionary,CC-COR,Centre City Commercial Corridor District,Released,2017-06-27T00:00:00.000,2017-07-27T00:00:00.000,2017-09-07T00:00:00.000,2020-07-27T00:00:00.000,Approval,Development Authority,BLN,BELTLINE,11,SW,51.0409566201551,-114.06598889845651,2,Titled Parcel;Building,1213 1 ST SW;1213 1 ST SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0659889,51.0409566],[-114.0661331,51.0409629]]}","MULTIPOINT (-114.06598889845651 51.0409566201551,-114.06613309918521 51.04096292136494)",,,,,
"{'type': 'Point', 'coordinates': [-114.06598284814109, 51.05708419498004]}",DP2018-5274,200 MEMORIAL DR NW,Commercial - Other Areas,"NEW: UTILITY BUILDING (STORM-WATER LIFT STATION), POWER GENERATION FACILITY - SMALL (SOLAR COLLECTORS)",C2310; C2900,POWER GENERATION FACILITY - SMALL; UTILITIES,Discretionary,S-R,Special Purpose - Recreation,Released,2018-11-09T00:00:00.000,2019-04-04T00:00:00.000,2019-05-31T00:00:00.000,2021-04-04T00:00:00.000,Approval,Development Authority,SSD,SUNNYSIDE,7,NW,51.05708419498004,-114.06598284814109,1,Titled Parcel,200 MEMORIAL DR NW,"{""type"":""Point"",""coordinates"":[-114.0659828,51.0570842]}",POINT (-114.06598284814109 51.05708419498004),,,,,
"{'type': 'Point', 'coordinates': [-113.99269460106571, 51.081673367875716]}",DP2021-7284,#5 2930 32 AV NE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: RETAIL AND CONSUMER SERVICE (RAMP & PARKING),C2515,RETAIL AND CONSUMER SERVICE,Discretionary,C-COR3 f1.0h12,Commercial - Corridor 3,Cancelled,2021-10-12T00:00:00.000,,,,,,HOR,HORIZON,10,NE,51.082,-113.993,3,Titled Parcel;Building;Building Suite,2930 32 AV NE;2930 32 AV NE;#5 2930 32 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9926946,51.0816734],[-113.9928,51.0822886],[-113.9928,51.0822886]]}","MULTIPOINT ((-113.99269460106571 51.081673367875716),(-113.99280004686115 51.08228864578405),(-113.99280004686115 51.08228864578405))",2021-11-30T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.04115712615021, 51.06420343861125]}",DP2021-1627,928 RADNOR AV NE,Renovations - Non-Residential,EXTERIOR RENOVATIONS: SCHOOL AUTHORITY - SCHOOL (ROOFTOP ELEVATOR MECHANICAL),C2580,SCHOOL AUTHORITY - SCHOOL,Permitted,S-CS,Special Purpose - Community Service,Released,2021-03-12T00:00:00.000,2021-03-26T00:00:00.000,2021-03-29T00:00:00.000,2023-03-26T00:00:00.000,Approval,Development Authority,REN,RENFREW,9,NE,51.06420343861125,-114.04115712615021,2,Titled Parcel;Building,928 RADNOR AV NE;928 RADNOR AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0411571,51.0642034],[-114.041415,51.0647336]]}","MULTIPOINT (-114.04115712615021 51.06420343861125,-114.04141498308884 51.06473357820294)",,,,,
"{'type': 'Point', 'coordinates': [-114.04818997301142, 50.97860765141577]}",DP2018-1553,8360 BLACKFOOT TR SE,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: HOTEL (RETAINING WALL, REMOVAL OF PARKADE ACCESS RAMP), REVISION: HOTEL (REVISION TO DP2014-4142 - REMOVAL OF UNDERGROUND PARKADE)",C1750,HOTEL,Discretionary,DC,Direct Control (1P2007),Released,2018-04-18T00:00:00.000,2018-09-27T00:00:00.000,2018-10-29T00:00:00.000,2021-09-27T00:00:00.000,Approval,Development Authority,EFV,EAST FAIRVIEW INDUSTRIAL,11,SE,50.97860765141577,-114.04818997301142,1,Titled Parcel,8360 BLACKFOOT TR SE,"{""type"":""Point"",""coordinates"":[-114.04819,50.9786077]}",POINT (-114.04818997301142 50.97860765141577),,,,,
